"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.url","Input.Reference","Input.A","Input.B","Answer.choice","Approve","Reject"
"3I7KR83SNARLLYDXADEBIDMCBUA9KQ","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Thu Aug 02 12:05:52 PDT 2018","1","BatchId:3326415;OriginalHitTemplateId:920937336;","300","345600","Thu Aug 09 12:05:52 PDT 2018","","","39KFRKBFIO9MYA4E6J3MCVSX039OYH","AOO39X8E3OJYY","Submitted","Thu Aug 02 12:06:32 PDT 2018","Thu Aug 02 12:07:30 PDT 2018","Mon Aug 06 12:07:30 PDT 2018","","","","58","0% (0/0)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/","79.png","40.png","262.png","optionA",,
"3E22YV8GG1K7LRE7OF2OWV3VATXPN6","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Thu Aug 02 12:06:04 PDT 2018","1","BatchId:3326415;OriginalHitTemplateId:920937336;","300","345600","Thu Aug 09 12:06:04 PDT 2018","","","3E4GGUZ1T95D7YQSF64YWAAJ1J4K2C","AFU00NU09CFXE","Submitted","Thu Aug 02 12:06:57 PDT 2018","Thu Aug 02 12:07:44 PDT 2018","Mon Aug 06 12:07:44 PDT 2018","","","","47","100% (49/49)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/","153.png","160.png","179.png","optionA",,
"3YCT0L9OMMN4YJUZGW6IR086XD4NSK","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Thu Aug 02 12:06:08 PDT 2018","1","BatchId:3326415;OriginalHitTemplateId:920937336;","300","345600","Thu Aug 09 12:06:08 PDT 2018","","","3OS4RQUCRATWFPYAXO6CHQLINT1BF4","A3KCUB6P3IE8NL","Submitted","Thu Aug 02 12:08:35 PDT 2018","Thu Aug 02 12:10:01 PDT 2018","Mon Aug 06 12:10:01 PDT 2018","","","","86","100% (34/34)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/","176.png","211.png","264.png","optionA",,
"3M93N4X8HK18FT3E1YEQYTRPOTZJSC","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Thu Aug 02 12:05:50 PDT 2018","1","BatchId:3326415;OriginalHitTemplateId:920937336;","300","345600","Thu Aug 09 12:05:50 PDT 2018","","","3WRFBPLXRB230M7EGJAJ7CWF1S9N3V","A2MFMT03E21ZIT","Submitted","Thu Aug 02 12:06:53 PDT 2018","Thu Aug 02 12:08:13 PDT 2018","Mon Aug 06 12:08:13 PDT 2018","","","","80","100% (8/8)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/","187.png","120.png","228.png","optionB",,
"3LG268AV38KO3YH9883UB391XJKERY","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Thu Aug 02 12:05:52 PDT 2018","1","BatchId:3326415;OriginalHitTemplateId:920937336;","300","345600","Thu Aug 09 12:05:52 PDT 2018","","","3A4TN5196LWZ3QHM6EQ7VV3DLTDHCE","A2541C8MY0BYV3","Submitted","Thu Aug 02 12:06:37 PDT 2018","Thu Aug 02 12:06:39 PDT 2018","Mon Aug 06 12:06:39 PDT 2018","","","","2","100% (83/83)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/","189.png","57.png","141.png","optionA",,
"3CO05SML7VJPC82F014FQE7X3IAR0P","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Thu Aug 02 12:06:21 PDT 2018","1","BatchId:3326415;OriginalHitTemplateId:920937336;","300","345600","Thu Aug 09 12:06:21 PDT 2018","","","3NG53N1RLWXP44PX8FI72I9LHT3P8M","A109CH3492UU42","Submitted","Thu Aug 02 12:09:29 PDT 2018","Thu Aug 02 12:10:27 PDT 2018","Mon Aug 06 12:10:27 PDT 2018","","","","58","0% (0/0)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/","30.png","124.png","152.png","optionA",,
"3YO4AH2FPDYP07NFNMFFLOXS7W8Q0N","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Thu Aug 02 12:06:08 PDT 2018","1","BatchId:3326415;OriginalHitTemplateId:920937336;","300","345600","Thu Aug 09 12:06:08 PDT 2018","","","3GM6G9ZBKOB2HLK8JX1ACABDQ1DMTC","A2EOOF9D135HQ1","Submitted","Thu Aug 02 12:09:48 PDT 2018","Thu Aug 02 12:10:10 PDT 2018","Mon Aug 06 12:10:10 PDT 2018","","","","22","98% (173/176)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/","149.png","25.png","102.png","optionA",,
"344M16OZKIT3O0PHF1MD2J4RWMVNEJ","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Thu Aug 02 12:06:04 PDT 2018","1","BatchId:3326415;OriginalHitTemplateId:920937336;","300","345600","Thu Aug 09 12:06:04 PDT 2018","","","3TY7ZAOG5GY6BONE0J0KDMH44LKK0S","A109CH3492UU42","Submitted","Thu Aug 02 12:06:49 PDT 2018","Thu Aug 02 12:07:39 PDT 2018","Mon Aug 06 12:07:39 PDT 2018","","","","50","0% (0/0)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/","47.png","72.png","250.png","optionA",,
"3FCO4VKOZ4RELFXUZU5O6MI1W7Q7ES","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Thu Aug 02 12:05:50 PDT 2018","1","BatchId:3326415;OriginalHitTemplateId:920937336;","300","345600","Thu Aug 09 12:05:50 PDT 2018","","","39DD6S19JQP0R91U8R29LQ7L2V7EZU","AUI8BVP9IRQQJ","Submitted","Thu Aug 02 12:05:55 PDT 2018","Thu Aug 02 12:06:12 PDT 2018","Mon Aug 06 12:06:12 PDT 2018","","","","17","0% (0/0)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/","21.png","136.png","187.png","optionB",,
"30P8I9JKOIZG0M5X6RF186SR5WYV57","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Thu Aug 02 12:06:08 PDT 2018","1","BatchId:3326415;OriginalHitTemplateId:920937336;","300","345600","Thu Aug 09 12:06:08 PDT 2018","","","3R0T90IZ1TQL3UMBM88PAVRC6T1CGB","A2541C8MY0BYV3","Submitted","Thu Aug 02 12:09:01 PDT 2018","Thu Aug 02 12:09:02 PDT 2018","Mon Aug 06 12:09:02 PDT 2018","","","","1","100% (83/83)","0% (0/0)","0% (0/0)","https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/","37.png","38.png","160.png","optionA",,
