url,Reference,A,B
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,79.png,40.png,262.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,189.png,57.png,141.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,212.png,73.png,114.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,212.png,165.png,228.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,65.png,112.png,173.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,19.png,16.png,253.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,256.png,75.png,145.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,22.png,156.png,219.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,18.png,175.png,222.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,75.png,123.png,221.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,141.png,79.png,184.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,145.png,33.png,155.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,65.png,28.png,201.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,34.png,243.png,260.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,255.png,73.png,129.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,245.png,115.png,221.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,250.png,121.png,204.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskA_frames/TaskA/,84.png,77.png,149.png
