"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.ref_video_url","Input.a_video_url","Input.b_video_url","Input.ref_start","Input.ref_end","Input.a_start","Input.a_end","Input.b_start","Input.b_end","Answer.choice","Approve","Reject"
"37M4O367VIHEVXMPBF7RWV9Z67V5MD","36NY760EF6AYOI4600Z6OYSCAIPB36","Choose the image most similar in color intensity to the reference image","Choose the image most similar in color intensity to the reference image","color, comparison, triplet","$0.01","Fri Jul 27 15:36:29 PDT 2018","1","BatchId:201861;OriginalHitTemplateId:920937242;","300","259200","Fri Aug 03 15:36:29 PDT 2018","","","3ERET4BTVM84SGMRJWCUIIHDCCRK9O","A1MKBZU9FK36B","Submitted","Fri Jul 27 15:57:50 PDT 2018","Fri Jul 27 15:57:57 PDT 2018","Mon Jul 30 15:57:57 PDT 2018","","","","7","100% (426/426)","0% (0/0)","0% (0/0)","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","177","177.0001","90","90.0001","124","124.0001","optionB"
"3E9VAUV7BVDBVKNKPEMJY1CS7VAAYE","36NY760EF6AYOI4600Z6OYSCAIPB36","Choose the image most similar in color intensity to the reference image","Choose the image most similar in color intensity to the reference image","color, comparison, triplet","$0.01","Fri Jul 27 15:36:36 PDT 2018","1","BatchId:201861;OriginalHitTemplateId:920937242;","300","259200","Fri Aug 03 15:36:36 PDT 2018","","","37U1UTWH9VLQ1FGC4OFDJY8GNY38RG","A1MKBZU9FK36B","Submitted","Fri Jul 27 16:05:42 PDT 2018","Fri Jul 27 16:06:09 PDT 2018","Mon Jul 30 16:06:09 PDT 2018","","","","27","100% (426/426)","0% (0/0)","0% (0/0)","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","236","236.0001","105","105.0001","217","217.0001","optionB"
"35A1YQPVFDFSZEWYQ09Z422IPYBI5A","36NY760EF6AYOI4600Z6OYSCAIPB36","Choose the image most similar in color intensity to the reference image","Choose the image most similar in color intensity to the reference image","color, comparison, triplet","$0.01","Fri Jul 27 15:36:36 PDT 2018","1","BatchId:201861;OriginalHitTemplateId:920937242;","300","259200","Fri Aug 03 15:36:36 PDT 2018","","","3Z4XG4ZF48QAYB2ODNL58GU4OFO8XC","A1MKBZU9FK36B","Submitted","Fri Jul 27 16:09:03 PDT 2018","Fri Jul 27 16:09:08 PDT 2018","Mon Jul 30 16:09:08 PDT 2018","","","","5","100% (426/426)","0% (0/0)","0% (0/0)","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","67","67.0001","126","126.0001","134","134.0001","optionC"
"3DZKABX2ZH4IK5PD4HVQXXYMPHTCV9","36NY760EF6AYOI4600Z6OYSCAIPB36","Choose the image most similar in color intensity to the reference image","Choose the image most similar in color intensity to the reference image","color, comparison, triplet","$0.01","Fri Jul 27 15:36:30 PDT 2018","1","BatchId:201861;OriginalHitTemplateId:920937242;","300","259200","Fri Aug 03 15:36:30 PDT 2018","","","3KKG4CDWKIXJEEXOY4PEB1SHFQ194N","A1MKBZU9FK36B","Submitted","Fri Jul 27 16:16:19 PDT 2018","Fri Jul 27 16:16:22 PDT 2018","Mon Jul 30 16:16:22 PDT 2018","","","","3","100% (426/426)","0% (0/0)","0% (0/0)","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","230","230.0001","51","51.0001","166","166.0001","optionA"
"3XT3KXP24YXOIIWCVJJ4W8GILTMI6Q","36NY760EF6AYOI4600Z6OYSCAIPB36","Choose the image most similar in color intensity to the reference image","Choose the image most similar in color intensity to the reference image","color, comparison, triplet","$0.01","Fri Jul 27 15:36:36 PDT 2018","1","BatchId:201861;OriginalHitTemplateId:920937242;","300","259200","Fri Aug 03 15:36:36 PDT 2018","","","3OS4RQUCR9EC0N9AG5ZTTBKYSGDBFN","A1MKBZU9FK36B","Submitted","Fri Jul 27 15:58:01 PDT 2018","Fri Jul 27 15:58:15 PDT 2018","Mon Jul 30 15:58:15 PDT 2018","","","","14","100% (426/426)","0% (0/0)","0% (0/0)","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","123","123.0001","76","76.0001","205","205.0001","optionC"
"3GVPRXWRPGT7MIAHETOW2MGEG46I7P","36NY760EF6AYOI4600Z6OYSCAIPB36","Choose the image most similar in color intensity to the reference image","Choose the image most similar in color intensity to the reference image","color, comparison, triplet","$0.01","Fri Jul 27 15:36:39 PDT 2018","1","BatchId:201861;OriginalHitTemplateId:920937242;","300","259200","Fri Aug 03 15:36:39 PDT 2018","","","3WI0P0II61R2IAC3LWQT5QMHYP0DRR","A1MKBZU9FK36B","Submitted","Fri Jul 27 15:58:26 PDT 2018","Fri Jul 27 15:58:30 PDT 2018","Mon Jul 30 15:58:30 PDT 2018","","","","4","100% (426/426)","0% (0/0)","0% (0/0)","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","98","98.0001","132","132.0001","204","204.0001","optionA"
"3CVDZS288GZ6XUFEHRK0I70CV19FM6","36NY760EF6AYOI4600Z6OYSCAIPB36","Choose the image most similar in color intensity to the reference image","Choose the image most similar in color intensity to the reference image","color, comparison, triplet","$0.01","Fri Jul 27 15:36:39 PDT 2018","1","BatchId:201861;OriginalHitTemplateId:920937242;","300","259200","Fri Aug 03 15:36:39 PDT 2018","","","3AWETUDC92RSSCEGNRLHIQ4TZBRIZR","A1MKBZU9FK36B","Submitted","Fri Jul 27 15:56:50 PDT 2018","Fri Jul 27 15:56:52 PDT 2018","Mon Jul 30 15:56:52 PDT 2018","","","","2","100% (426/426)","0% (0/0)","0% (0/0)","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","10","10.0001","102","102.0001","213","213.0001","optionA"
"3X52SWXE0W4VZUPIUR0MJZH0WQVCWJ","36NY760EF6AYOI4600Z6OYSCAIPB36","Choose the image most similar in color intensity to the reference image","Choose the image most similar in color intensity to the reference image","color, comparison, triplet","$0.01","Fri Jul 27 15:36:40 PDT 2018","1","BatchId:201861;OriginalHitTemplateId:920937242;","300","259200","Fri Aug 03 15:36:40 PDT 2018","","","3JRJSWSMQHKFRE51610HTA1MSNLE3H","A1MKBZU9FK36B","Submitted","Fri Jul 27 16:08:24 PDT 2018","Fri Jul 27 16:08:26 PDT 2018","Mon Jul 30 16:08:26 PDT 2018","","","","2","100% (426/426)","0% (0/0)","0% (0/0)","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","168","168.0001","76","76.0001","99","99.0001","optionA"
"306996CF6VJJOOH9J3F6FPLOISMB1C","36NY760EF6AYOI4600Z6OYSCAIPB36","Choose the image most similar in color intensity to the reference image","Choose the image most similar in color intensity to the reference image","color, comparison, triplet","$0.01","Fri Jul 27 15:36:42 PDT 2018","1","BatchId:201861;OriginalHitTemplateId:920937242;","300","259200","Fri Aug 03 15:36:42 PDT 2018","","","3WZ36BJEV3FMJSRBBP4IAFZZJPLBTV","A1MKBZU9FK36B","Submitted","Fri Jul 27 16:07:43 PDT 2018","Fri Jul 27 16:07:49 PDT 2018","Mon Jul 30 16:07:49 PDT 2018","","","","6","100% (426/426)","0% (0/0)","0% (0/0)","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","160","160.0001","153","153.0001","217","217.0001","optionA"
"3M0556243RJCFC0ETSZ0VMPC0RJFN6","36NY760EF6AYOI4600Z6OYSCAIPB36","Choose the image most similar in color intensity to the reference image","Choose the image most similar in color intensity to the reference image","color, comparison, triplet","$0.01","Fri Jul 27 15:36:44 PDT 2018","1","BatchId:201861;OriginalHitTemplateId:920937242;","300","259200","Fri Aug 03 15:36:44 PDT 2018","","","3H7XDTSHKCQA2Q3GMG17YAXV3WVGW7","A1MKBZU9FK36B","Submitted","Fri Jul 27 16:16:04 PDT 2018","Fri Jul 27 16:16:08 PDT 2018","Mon Jul 30 16:16:08 PDT 2018","","","","4","100% (426/426)","0% (0/0)","0% (0/0)","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","http://bacchus.usc.edu:3749/TaskA.mp4","91","91.0001","174","174.0001","209","209.0001","optionB"
