url,Reference,A,B
http://catamaran2.usc.edu:9999/TaskB/,107.png,57.png,171.png
http://catamaran2.usc.edu:9999/TaskB/,125.png,20.png,136.png
http://catamaran2.usc.edu:9999/TaskB/,95.png,76.png,137.png
http://catamaran2.usc.edu:9999/TaskB/,119.png,53.png,75.png
http://catamaran2.usc.edu:9999/TaskB/,137.png,38.png,132.png
http://catamaran2.usc.edu:9999/TaskB/,47.png,61.png,150.png
http://catamaran2.usc.edu:9999/TaskB/,53.png,45.png,105.png
http://catamaran2.usc.edu:9999/TaskB/,45.png,18.png,59.png
http://catamaran2.usc.edu:9999/TaskB/,84.png,104.png,157.png
http://catamaran2.usc.edu:9999/TaskB/,87.png,7.png,45.png
http://catamaran2.usc.edu:9999/TaskB/,100.png,60.png,154.png
http://catamaran2.usc.edu:9999/TaskB/,69.png,33.png,64.png
http://catamaran2.usc.edu:9999/TaskB/,12.png,78.png,134.png
http://catamaran2.usc.edu:9999/TaskB/,32.png,70.png,155.png
http://catamaran2.usc.edu:9999/TaskB/,9.png,11.png,134.png
http://catamaran2.usc.edu:9999/TaskB/,17.png,12.png,46.png
http://catamaran2.usc.edu:9999/TaskB/,43.png,37.png,107.png
http://catamaran2.usc.edu:9999/TaskB/,170.png,78.png,83.png
http://catamaran2.usc.edu:9999/TaskB/,71.png,41.png,122.png
http://catamaran2.usc.edu:9999/TaskB/,28.png,92.png,105.png
http://catamaran2.usc.edu:9999/TaskB/,139.png,81.png,143.png
http://catamaran2.usc.edu:9999/TaskB/,89.png,10.png,116.png
http://catamaran2.usc.edu:9999/TaskB/,12.png,156.png,171.png
http://catamaran2.usc.edu:9999/TaskB/,29.png,8.png,89.png
http://catamaran2.usc.edu:9999/TaskB/,70.png,23.png,106.png
http://catamaran2.usc.edu:9999/TaskB/,101.png,65.png,147.png
http://catamaran2.usc.edu:9999/TaskB/,172.png,10.png,138.png
http://catamaran2.usc.edu:9999/TaskB/,83.png,48.png,109.png
http://catamaran2.usc.edu:9999/TaskB/,71.png,33.png,103.png
http://catamaran2.usc.edu:9999/TaskB/,76.png,69.png,173.png
http://catamaran2.usc.edu:9999/TaskB/,8.png,68.png,105.png
http://catamaran2.usc.edu:9999/TaskB/,76.png,32.png,124.png
http://catamaran2.usc.edu:9999/TaskB/,96.png,102.png,137.png
http://catamaran2.usc.edu:9999/TaskB/,51.png,79.png,177.png
http://catamaran2.usc.edu:9999/TaskB/,106.png,104.png,169.png
http://catamaran2.usc.edu:9999/TaskB/,97.png,24.png,93.png
http://catamaran2.usc.edu:9999/TaskB/,154.png,6.png,174.png
http://catamaran2.usc.edu:9999/TaskB/,89.png,24.png,59.png
http://catamaran2.usc.edu:9999/TaskB/,112.png,166.png,174.png
http://catamaran2.usc.edu:9999/TaskB/,30.png,106.png,148.png
http://catamaran2.usc.edu:9999/TaskB/,121.png,169.png,170.png
