"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.url","Input.Reference","Input.A","Input.B","Answer.choice","Approve","Reject"
"3HEADTGN2P65593V3YS4B7XNXDNRVF","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Mon Jul 30 17:32:08 PDT 2018","1","BatchId:3322804;OriginalHitTemplateId:920937336;","300","345600","Mon Aug 06 17:32:08 PDT 2018","","","33CID571057DCM4T46U4UKSQVUFL3Q","A2MCG5W6LHSRG9","Submitted","Mon Jul 30 17:49:32 PDT 2018","Mon Jul 30 17:50:45 PDT 2018","Fri Aug 03 17:50:45 PDT 2018","","","","73","100% (383/383)","0% (0/0)","0% (0/0)","http://catamaran2.usc.edu:9999/TaskB/","68.png","118.png","144.png","optionA",,
"3HEADTGN2P65593V3YS4B7XNXDNVRJ","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Mon Jul 30 17:32:27 PDT 2018","1","BatchId:3322804;OriginalHitTemplateId:920937336;","300","345600","Mon Aug 06 17:32:27 PDT 2018","","","3I7DHKZYGOEUQ9H1WEFZE4LQCUK5FV","A177EXELDLWTWV","Submitted","Mon Jul 30 17:37:41 PDT 2018","Mon Jul 30 17:37:50 PDT 2018","Fri Aug 03 17:37:50 PDT 2018","","","","9","100% (123/123)","0% (0/0)","0% (0/0)","http://catamaran2.usc.edu:9999/TaskB/","137.png","39.png","110.png","optionB",,
"3IWA71V4TIU4NFA6BPQOOX3CH1HX6Q","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Mon Jul 30 17:32:08 PDT 2018","1","BatchId:3322804;OriginalHitTemplateId:920937336;","300","345600","Mon Aug 06 17:32:08 PDT 2018","","","3ZOTGHDK5JPP2OS57DBXU94WIFKSO7","A177EXELDLWTWV","Submitted","Mon Jul 30 18:03:11 PDT 2018","Mon Jul 30 18:03:16 PDT 2018","Fri Aug 03 18:03:16 PDT 2018","","","","5","100% (123/123)","0% (0/0)","0% (0/0)","http://catamaran2.usc.edu:9999/TaskB/","135.png","36.png","41.png","optionA",,
"3K1H3NEY7LDSM2UVW2YY6HD9VX9DG7","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Mon Jul 30 17:32:41 PDT 2018","1","BatchId:3322804;OriginalHitTemplateId:920937336;","300","345600","Mon Aug 06 17:32:41 PDT 2018","","","36NEMU28XGRU92O2E26LZUICTS0WMA","A2MCG5W6LHSRG9","Submitted","Mon Jul 30 17:45:28 PDT 2018","Mon Jul 30 17:46:44 PDT 2018","Fri Aug 03 17:46:44 PDT 2018","","","","76","100% (383/383)","0% (0/0)","0% (0/0)","http://catamaran2.usc.edu:9999/TaskB/","43.png","123.png","130.png","optionA",,
"32ZCLEW0BZYB21NM9HAW3OME18SJPU","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Mon Jul 30 17:32:08 PDT 2018","1","BatchId:3322804;OriginalHitTemplateId:920937336;","300","345600","Mon Aug 06 17:32:08 PDT 2018","","","3A1PQ49WVIVFGN7OQH1NEZKMGTSH1N","A2OAZPREKF6PQR","Submitted","Mon Jul 30 17:41:57 PDT 2018","Mon Jul 30 17:42:07 PDT 2018","Fri Aug 03 17:42:07 PDT 2018","","","","10","15% (16/105)","0% (0/0)","0% (0/0)","http://catamaran2.usc.edu:9999/TaskB/","10.png","37.png","59.png","optionB",,
"3JTPR5MTZSQ2KBBL7N1U6XHAPXS5KU","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Mon Jul 30 17:32:28 PDT 2018","1","BatchId:3322804;OriginalHitTemplateId:920937336;","300","345600","Mon Aug 06 17:32:28 PDT 2018","","","3CN4LGXD5Y2IUHUWNZODYXMSI9FY4G","A2MCG5W6LHSRG9","Submitted","Mon Jul 30 17:51:12 PDT 2018","Mon Jul 30 17:51:50 PDT 2018","Fri Aug 03 17:51:50 PDT 2018","","","","38","100% (383/383)","0% (0/0)","0% (0/0)","http://catamaran2.usc.edu:9999/TaskB/","32.png","39.png","125.png","optionB",,
"31KSVEGZ346IKY30T8X0X9G14MPRWP","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Mon Jul 30 17:32:08 PDT 2018","1","BatchId:3322804;OriginalHitTemplateId:920937336;","300","345600","Mon Aug 06 17:32:08 PDT 2018","","","33PPUNGG39JP0D6ZUXM9KX64GH4ZRS","A177EXELDLWTWV","Submitted","Mon Jul 30 18:02:30 PDT 2018","Mon Jul 30 18:02:33 PDT 2018","Fri Aug 03 18:02:33 PDT 2018","","","","3","100% (123/123)","0% (0/0)","0% (0/0)","http://catamaran2.usc.edu:9999/TaskB/","175.png","73.png","178.png","optionA",,
"335HHSX8CDJ6MYP6G8GGRHPAAXMDH6","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Mon Jul 30 17:32:41 PDT 2018","1","BatchId:3322804;OriginalHitTemplateId:920937336;","300","345600","Mon Aug 06 17:32:41 PDT 2018","","","3JZQSN0I3ROS666LDAYQI1CF23ZGFP","A2MCG5W6LHSRG9","Submitted","Mon Jul 30 17:56:33 PDT 2018","Mon Jul 30 17:57:45 PDT 2018","Fri Aug 03 17:57:45 PDT 2018","","","","72","100% (383/383)","0% (0/0)","0% (0/0)","http://catamaran2.usc.edu:9999/TaskB/","77.png","92.png","128.png","optionB",,
"3UAU495MII62VHMF6G1VLQQZ8JUUOK","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Mon Jul 30 17:32:08 PDT 2018","1","BatchId:3322804;OriginalHitTemplateId:920937336;","300","345600","Mon Aug 06 17:32:08 PDT 2018","","","317HQ483I86IQPPX1MH6BIY4J7DINQ","A2MCG5W6LHSRG9","Submitted","Mon Jul 30 17:54:48 PDT 2018","Mon Jul 30 17:56:14 PDT 2018","Fri Aug 03 17:56:14 PDT 2018","","","","86","100% (383/383)","0% (0/0)","0% (0/0)","http://catamaran2.usc.edu:9999/TaskB/","163.png","94.png","140.png","optionA",,
"3V8JSVE8YY4X0ZTVM3VOJZ2Y05ZYEI","3TGL8109GQ34E8C3YEXK3K21FF8T9X","Choose the image most similar in color shade to the reference shade","Choose the image most similar in color shade to the reference shade","color, shade, comparison, triplet","$0.02","Mon Jul 30 17:32:28 PDT 2018","1","BatchId:3322804;OriginalHitTemplateId:920937336;","300","345600","Mon Aug 06 17:32:28 PDT 2018","","","31QTRG6Q2UR4JAGFLJG11VXN95AYP6","A3UUH3632AI3ZX","Submitted","Mon Jul 30 17:39:57 PDT 2018","Mon Jul 30 17:39:59 PDT 2018","Fri Aug 03 17:39:59 PDT 2018","","","","2","100% (327/327)","0% (0/0)","0% (0/0)","http://catamaran2.usc.edu:9999/TaskB/","107.png","19.png","89.png","optionA",,
