workerID,optionA,optionB,violations,optionC,total,fraction_correct
A3HAPMZV7CYDY8,13,16,12,0,29,0.5862068965517241
A12B5MV7IHN855,63,58,49,0,121,0.5867768595041323
A3EZ0H07TSDAPW,3,2,2,0,5,0.6
A3G0T5Y7OSC76S,9,10,7,0,19,0.631578947368421
AVSI2WKCIHWI9,14,9,7,0,23,0.6521739130434783
A1J9IYN46FX00O,20,6,7,0,26,0.7307692307692307
A177EXELDLWTWV,20,17,8,0,37,0.7567567567567568
A2341KCW7BI2NS,5,9,3,0,14,0.7857142857142857
A35T6IAX6MHNHC,12,12,5,0,24,0.7916666666666666
AOO39X8E3OJYY,22,20,8,0,42,0.8095238095238095
A1NJ6Q940T7HEB,21,16,7,0,37,0.8108108108108109
A2MCG5W6LHSRG9,62,66,22,0,128,0.828125
A2CZR0MGSEILRP,3,3,1,0,6,0.8333333333333334
A2541C8MY0BYV3,43,42,14,0,85,0.8352941176470589
AMC42JMQA8A5U,16,21,6,0,37,0.8378378378378378
A9JHTV37LSE5F,32,25,9,0,57,0.8421052631578947
AY45B0YHI4TUP,13,23,5,0,36,0.8611111111111112
A2ZV821LZHVOHD,35,32,9,0,67,0.8656716417910447
A35DS4T8H1MWYD,16,32,5,0,48,0.875
A26T17CDTYJI1W,15,26,4,0,41,0.8780487804878049
A2MFMT03E21ZIT,4,5,1,0,9,0.8888888888888888
A1K8QNLYYYX21W,16,25,4,0,41,0.9024390243902439
A2V3GBDTA9KEU0,10,11,2,0,21,0.9047619047619048
A2J7L7S9GCPJ8V,0,1,0,0,1,1.0
A2UF2FRGVW4T89,6,2,0,0,8,1.0
A2NJ7N8INZOB00,8,3,0,0,11,1.0
AKSJ3C5O3V9RB,2,6,0,0,8,1.0
A3ITZNJQUTIZ4C,0,1,0,0,1,1.0
A3RQJM16UBTZKK,5,8,0,0,13,1.0
A1LHDU0RM0ZUZV,2,3,0,0,5,1.0
