url,Reference,A,B
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,153.png,116.png,122.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,28.png,46.png,135.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,167.png,26.png,137.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,154.png,11.png,160.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,60.png,57.png,159.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,8.png,90.png,138.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,145.png,44.png,97.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,75.png,43.png,44.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,3.png,42.png,144.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,112.png,47.png,73.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,100.png,6.png,144.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,119.png,12.png,116.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,137.png,141.png,175.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,46.png,24.png,144.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,158.png,65.png,95.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,86.png,18.png,117.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,153.png,84.png,132.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,80.png,37.png,70.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,142.png,31.png,40.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,104.png,13.png,68.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,24.png,11.png,167.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,113.png,131.png,168.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,103.png,89.png,95.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,127.png,158.png,171.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,81.png,109.png,137.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,28.png,27.png,169.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,132.png,34.png,171.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,89.png,49.png,51.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,80.png,25.png,125.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,152.png,45.png,175.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,92.png,112.png,141.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,153.png,16.png,58.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,18.png,38.png,147.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,41.png,113.png,139.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,5.png,32.png,172.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,55.png,30.png,101.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,88.png,85.png,120.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,23.png,26.png,172.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,80.png,148.png,166.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,98.png,24.png,178.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,93.png,36.png,85.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,177.png,43.png,176.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,95.png,3.png,142.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,63.png,157.png,162.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,82.png,77.png,151.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,86.png,32.png,166.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,31.png,80.png,149.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,155.png,7.png,141.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,111.png,13.png,39.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,105.png,171.png,176.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,133.png,174.png,178.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,163.png,16.png,106.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,2.png,15.png,76.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,77.png,18.png,26.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,65.png,20.png,43.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,166.png,120.png,143.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,117.png,36.png,137.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,3.png,85.png,112.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,120.png,9.png,123.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,124.png,88.png,167.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,15.png,19.png,30.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,92.png,112.png,167.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,110.png,150.png,178.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,82.png,15.png,142.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,143.png,131.png,144.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,20.png,30.png,118.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,107.png,45.png,87.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,117.png,51.png,56.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,2.png,43.png,88.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,135.png,83.png,100.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,103.png,46.png,106.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,29.png,71.png,127.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,11.png,20.png,172.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,11.png,57.png,113.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,123.png,161.png,168.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,111.png,124.png,140.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,22.png,70.png,106.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,151.png,137.png,150.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,17.png,22.png,177.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,34.png,13.png,99.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,80.png,7.png,169.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,33.png,2.png,170.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,90.png,4.png,117.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,64.png,25.png,35.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,156.png,4.png,149.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,120.png,90.png,154.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,162.png,153.png,169.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,9.png,12.png,174.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,128.png,46.png,136.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,10.png,64.png,105.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,162.png,20.png,137.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,26.png,110.png,159.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,14.png,28.png,94.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,103.png,85.png,99.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,55.png,30.png,135.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,80.png,9.png,173.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,31.png,8.png,126.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,79.png,11.png,44.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,156.png,123.png,148.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,146.png,9.png,62.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,36.png,107.png,161.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,112.png,104.png,117.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,5.png,39.png,60.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,85.png,12.png,37.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,6.png,4.png,160.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,85.png,14.png,28.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,7.png,89.png,146.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,15.png,69.png,124.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,2.png,115.png,154.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,176.png,11.png,114.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,80.png,20.png,147.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,98.png,95.png,151.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,102.png,29.png,175.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,29.png,44.png,151.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,21.png,134.png,163.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,107.png,33.png,89.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,151.png,40.png,136.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,71.png,54.png,151.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,98.png,36.png,71.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,69.png,150.png,170.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,165.png,57.png,60.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,139.png,118.png,123.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,112.png,100.png,133.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,51.png,148.png,151.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,56.png,22.png,41.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,68.png,123.png,172.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,11.png,95.png,136.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,52.png,3.png,106.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,159.png,155.png,174.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,46.png,89.png,113.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,120.png,97.png,161.png
https://s3-us-west-1.amazonaws.com/mturk-web-hosting/TaskB_frames/TaskB/,103.png,1.png,72.png
